,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category,total_watch,dropped_rate
2317,40750,6.22,Redo of Healer,TV,12,2021,TNK,Light novel,24 min. per ep.,7256.0,665,222096,2815,145187,77,2838,11839,62155,Ecchi, Fantasy,,,,R+,2021-01-13,2021-04-01,2021,2021,78 days,-0.08213901484492739,medium,14754,0.8024264606208485
2353,42822,6.86,Dr. Ramune -Mysterious Disease Specialist-,TV,12,2021,Platinum Vision,Manga,23 min. per ep.,4193.0,2995,29800,121,18209,7,538,1745,9301,Comedy, Psychological, Shounen,,,PG-13,2021-01-10,2022-05-30,2021,2022,505 days,0.036555480283062394,very_long,2290,0.7620087336244541
2339,41392,6.53,Otherside Picnic,TV,12,2021,"LIDENFILMS, Felix Film",Novel,23 min. per ep.,5723.0,1982,61416,340,29742,2,1280,4034,26358,Sci-Fi, Adventure, Fantasy, Shoujo Ai,,PG-13,2021-01-04,2022-05-30,2021,2022,511 days,-0.010926779957368512,very_long,5316,0.7588412340105343
2347,41899,6.47,The Hidden Dungeon Only I Can Enter,TV,12,2021,Okuruto Noboru,Light novel,24 min. per ep.,6027.0,1200,122606,1362,76478,21,1370,4106,40631,Action, Adventure, Ecchi, Fantasy,,PG-13,2021-01-09,2022-05-30,2021,2022,506 days,-0.061869479822921285,very_long,5497,0.7469528833909405
2165,37984,6.94,"So I'm a Spider, So What?",TV,24,2021,Millepensee,Light novel,23 min. per ep.,3852.0,1127,132114,834,81895,19,1592,4365,44243,Adventure, Comedy,,,,PG-13,2021-01-08,2022-05-30,2021,2022,507 days,-0.10030614001053235,very_long,5976,0.7304216867469879
