,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
879,5114,9.19,Fullmetal Alchemist:Brotherhood,TV,64,2009,Bones,Manga,24 min. per ep.,1.0,3,2248456,183914,171871,1644938,75728,32456,323463,Action, Military, Comedy, Drama, Magic,R,2009-04-05,2010-07-04,2009,2010,455 days,-0.42169482192844526,very_long
2281,40028,9.17,Attack on Titan Final Season,TV,16,2021,MAPPA,Manga,23 min. per ep.,2.0,119,733260,44862,566239,553,6658,2090,157720,Action, Military, Super Power, Drama, Fantasy,R,2020-12-07,2022-05-30,2020,2022,539 days,-0.3498583452516432,very_long
1051,9253,9.11,Steins;Gate,TV,24,2011,White Fox,Visual novel,24 min. per ep.,3.0,9,1771162,148452,114349,1134756,60926,35600,425531,Thriller, Sci-Fi,,,,PG-13,2011-04-06,2011-09-14,2011,2011,161 days,-0.39967807916890474,long
1586,28977,9.1,Gintama Season 4,TV,51,2015,Bandai Namco Pictures,Manga,24 min. per ep.,5.0,329,404121,11868,48011,167130,16612,11472,160896,Action, Comedy, Parody, Samurai, Sci-Fi,PG-13,2015-04-08,2016-03-30,2015,2016,357 days,-0.31537349132096654,very_long
1136,11061,9.1,Hunter x Hunter,TV,148,2011,Madhouse,Manga,23 min. per ep.,6.0,12,1673924,147274,227277,1094486,79587,31652,240922,Action, Adventure, Shounen, Super Power,,PG-13,2011-10-02,2014-09-24,2011,2014,1088 days,-0.3982262666474137,very_long
