,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
879,5114,9.19,Fullmetal Alchemist:Brotherhood,TV,64,2009,Bones,Manga,24 min. per ep.,1.0,3,2248456,183914,171871,1644938,75728,32456,323463,Action, Military, Comedy, Drama, Magic,R,2009-04-05,2010-07-04,2009,2010,455 days,-0.42169482192844526,very_long
1051,9253,9.11,Steins;Gate,TV,24,2011,White Fox,Visual novel,24 min. per ep.,3.0,9,1771162,148452,114349,1134756,60926,35600,425531,Thriller, Sci-Fi,,,,PG-13,2011-04-06,2011-09-14,2011,2011,161 days,-0.39967807916890474,long
1136,11061,9.1,Hunter x Hunter,TV,148,2011,Madhouse,Manga,23 min. per ep.,6.0,12,1673924,147274,227277,1094486,79587,31652,240922,Action, Adventure, Shounen, Super Power,,PG-13,2011-10-02,2014-09-24,2011,2014,1088 days,-0.3982262666474137,very_long
473,1535,8.63,Death Note,TV,37,2006,Madhouse,Manga,23 min. per ep.,60.0,1,2589552,145201,122401,2146116,75054,80834,165147,Mystery, Police, Supernatural, Thriller, Shounen,R,2006-10-04,2007-06-27,2006,2007,266 days,-0.3645077096355309,very_long
1293,16498,8.48,Attack on Titan,TV,25,2013,Wit Studio,Manga,24 min. per ep.,115.0,2,2531397,129844,140753,2182587,37345,44635,126077,Action, Military, Super Power, Drama, Fantasy,R,2013-04-07,2013-09-29,2013,2013,175 days,-0.3468482035719085,long
