,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
1204,13159,6.49,Here Comes the Black Witch!!,TV,60,2012,Shin-Ei Animation,Novel,7 min. per ep.,5968.0,5382,7933,10,979,1540,824,1325,3265,Comedy, Magic, Slice of Life,,,PG,2012-04-04,2014-02-19,2012,2014,686 days,0.2302043581718811,very_long
1205,13161,6.89,Aesthetica of a Rogue Hero,TV,12,2012,Arms,Light novel,24 min. per ep.,4090.0,431,323353,1096,13360,234071,5817,11973,58132,Action, Super Power, Fantasy,,,R+,2012-07-06,2012-09-21,2012,2012,77 days,-0.1455992578308119,short
1206,13163,7.0,Folktales from Japan,TV,258,2012,Tomason,Other,24 min. per ep.,3646.0,4975,9635,26,2102,533,1742,1578,3680,Historical, Kids,,,,G,2012-04-01,2017-03-26,2012,2017,1820 days,0.16527533558399712,very_long
1207,13201,6.75,Monster Rancher (2000),TV,25,2000,TMS Entertainment,Game,24 min. per ep.,4697.0,4407,13008,9,344,9854,315,410,2085,Action, Adventure, Fantasy,,,PG,2000-04-01,2000-09-30,2000,2000,182 days,0.1433530077372644,very_long
1208,13203,7.78,"Lupin the Third, The Woman Called Fujiko Mine",TV,13,2012,TMS Entertainment,Manga,23 min. per ep.,866.0,2312,47841,370,3229,21715,2311,1658,18928,Action, Adventure, Ecchi, Samurai, Seinen,R+,2012-04-05,2012-06-28,2012,2012,84 days,-0.07708434806862152,medium
1209,13231,6.09,Beyblade:Shogun Steel,TV,38,2012,"Tatsunoko Production, SynergySP",Manga,12 min. per ep.,7878.0,4941,9898,14,314,6809,269,701,1805,Adventure, Sports,,,,PG,2012-04-08,2012-12-23,2012,2012,259 days,0.22787814846566554,very_long
1210,13331,7.94,Jormungand Season 2:Perfect Order,TV,12,2012,White Fox,Manga,24 min. per ep.,626.0,977,151317,647,5537,110540,3317,1994,29929,Action, Adventure,,,,R+,2012-10-10,2012-12-26,2012,2012,77 days,-0.18213316205424732,short
1211,13333,7.32,Tari Tari,TV,13,2012,P.A. Works,Original,24 min. per ep.,2270.0,1114,133495,534,7098,61813,4761,5590,54233,Music, Slice of Life,,,,PG-13,2012-07-01,2012-09-23,2012,2012,84 days,-0.12821621675096684,medium
1212,13349,7.48,Utakoi,TV,13,2012,TYO Animations,Manga,24 min. per ep.,1639.0,3317,24468,106,1614,8316,1552,1760,11226,Comedy, Historical, Josei,,,PG-13,2012-07-03,2012-09-25,2012,2012,84 days,0.014843029526133601,medium
1213,13367,6.6,NAKAIMO - My Little Sister Is Among Them!,TV,12,2012,Studio Gokumi,Light novel,24 min. per ep.,5373.0,867,172349,229,8398,112167,3915,6451,41418,Comedy, Ecchi, Mystery, Romance, School,R+,2012-07-06,2012-09-28,2012,2012,84 days,-0.09396711035964359,medium
1214,13377,6.87,Recorder and Randsell Re,TV,13,2012,Seven,4-koma manga,3 min. per ep.,4151.0,3299,24723,7,645,19892,334,439,3413,Comedy, School, Slice of Life,,,PG-13,2012-04-04,2012-06-27,2012,2012,84 days,0.05718385713652126,medium
1215,13535,7.73,Good Luck Girl!,TV,13,2012,Sunrise,Manga,23 min. per ep.,954.0,763,195938,1182,8625,120400,5649,6109,55155,Comedy, Parody, Supernatural,,,PG-13,2012-07-05,2012-09-27,2012,2012,84 days,-0.1823657129804639,medium
1216,13585,7.29,Natsuyuki Rendezvous,TV,11,2012,Doga Kobo,Manga,23 min. per ep.,2363.0,1864,66716,227,3529,34170,2694,2972,23351,Supernatural, Drama, Josei,,,PG-13,2012-07-06,2012-09-14,2012,2012,70 days,-0.0734085096630148,short
1217,13599,7.35,Robotics;Notes,TV,22,2012,Production I.G,Visual novel,23 min. per ep.,2098.0,937,157614,587,8576,81365,6707,6787,54179,Sci-Fi, Mystery, Mecha, School,,PG-13,2012-10-12,2013-03-22,2012,2013,161 days,-0.14277872930836427,long
1218,13601,8.38,Psycho-Pass,TV,22,2012,Production I.G,Original,23 min. per ep.,168.0,45,1211503,34920,81722,720340,53768,36300,319373,Action, Sci-Fi, Psychological,,,R,2012-10-12,2013-03-22,2012,2013,161 days,-0.29417781293043266,long
1219,13655,7.52,Little Busters!,TV,26,2012,J.C.Staff,Visual novel,24 min. per ep.,1533.0,617,236200,1915,15056,106133,12171,14488,88352,Slice of Life, Comedy, Drama, School,,PG-13,2012-10-06,2013-04-06,2012,2013,182 days,-0.17792440951635244,very_long
1220,13659,7.05,Oreimo 2,TV,13,2013,A-1 Pictures,Light novel,24 min. per ep.,3434.0,373,359102,1238,10649,288292,5159,8422,46580,Comedy, Romance,,,,PG-13,2013-04-07,2013-06-30,2013,2013,84 days,-0.1611498587751356,medium
1221,13663,7.51,To LOVE Ru Darkness,TV,12,2012,Xebec,Manga,23 min. per ep.,1561.0,497,284954,2042,9014,215176,4489,5079,51196,Comedy, Ecchi, Romance, School, Sci-Fi,R+,2012-10-06,2012-12-29,2012,2012,84 days,-0.18567172999761244,medium
